"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:18:41","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43881738044070013672723","01046023580047212157Z(0-",,"0008180969026672","2025-06-15 16:09:00","2724235106","8324bccc-82c1-4abd-a261-0ad7d002f3c9","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:18:41","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43881738044070013672723","0104602358004752215IYcOJ",,"0008180969026672","2025-06-15 16:09:00","2724235106","03a774d8-91d5-4db9-b671-64867fd805fa","Нет",,,,,,,,"04602358004752","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:18:41","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43881738044070013672723","0104602358004721215_TBIm",,"0008180969026672","2025-06-15 16:09:00","2724235106","5f276503-43cf-4bda-8082-f7245a1499e5","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:14:31","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43879738044070013672723","0104680062940016215<;WS;",,"0008180969026672","2025-06-15 16:04:00","2724235106","26410880-35f3-4e00-ba66-21231b2f8f39","Нет",,,,,,,,"04680062940016","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178367380440801740631482","0104660214292538215-Yxed",,"","2025-06-15 16:03:00","2724235106","0cc346b8-99d3-4d08-a5cb-af3fb0d7caec","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178367380440801740631482","0104660214292545215UnTX>",,"","2025-06-15 16:03:00","2724235106","fd20ab8b-821e-4dd0-896d-8989d7b733b9","Нет",,,,,,,,"04660214292545","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43878738044070013672723","0104602358004721215LlYcL",,"0008180969026672","2025-06-15 16:03:00","2724235106","34edc5b5-68de-4c13-aa3f-676ff343c8c0","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43878738044070013672723","0104602358004721215sWqGh",,"0008180969026672","2025-06-15 16:03:00","2724235106","b765ef7e-d859-4fc6-a791-754b3483338c","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43878738044070013672723","0104602358004721215gzHnN",,"0008180969026672","2025-06-15 16:03:00","2724235106","ea535381-7a0d-4b18-9e43-544592d70b0f","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43878738044070013672723","0104602358004721215YaHAd",,"0008180969026672","2025-06-15 16:03:00","2724235106","c0ede831-2b42-41ff-a1d4-c80074e973c7","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
