"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 11:13:41","Молочная продукция","Республика Бурятия","Респ Бурятия, Муйский р-н, пгт Таксимо, ул Магистральная, 9","381617380440700575487482","0104607013360716215''W/)",,"","2025-06-15 13:04:00","7536113009","7a7141b9-6675-4b24-9db8-f0dfc8b16bfe","Нет",,,,,,,,"04607013360716","83582f52-99b0-45f3-aed3-d40a09ee8bc2","Муйский","7380440700575487","Нет"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 11:13:22","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Оцимика, 30Б","40637380440801731587482","0104600605029275215T1sYo",,"","2025-06-13 11:33:00","7536113009","3e2e5791-8aaf-4622-b739-b75b628ddd58","Нет",,,,,,,,"04600605029275","f326c170-43dd-42fa-84b8-570e25b9fb16","Улан-Удэ","7380440801731587","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:41:45","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","31147380440801731434482","0104607013360594215WWI=s",,"","2025-06-15 12:37:00","7536113009","96402b8f-f8b0-4bb2-8367-89d277478c4f","Нет",,,,,,,,"04607013360594","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7380440801731434","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:40:05","Молочная продукция","Забайкальский край","Забайкальский край, Карымский р-н, пгт Карымское, ул Автомобилистов, 2","418397281440500981891482","0104607013360594215YPFj,",,"","2025-06-15 13:36:00","7536113009","5bfc86d7-3092-42ec-b291-b2b9a9a352b3","Нет",,,,,,,,"04607013360594","5552d67c-46a9-4124-99f3-4b4c2f4082a6","Карымский","7281440500981891","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:29:05","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28377380440700704155482","0104603406005141215jQ9;i",,"","2025-06-15 12:20:00","7536113009","12f7198a-30a6-4820-bc27-c2002d6154a7","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:29:05","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28377380440700704155482","0104603406005141215dJdxo",,"","2025-06-15 12:20:00","7536113009","79014f29-7810-42ec-8cd4-94cc09093f6c","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:29:05","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28377380440700704155482","0104603406005141215vU%Os",,"","2025-06-15 12:20:00","7536113009","34b47584-e137-4f08-ab69-0285e386723f","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:29:05","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28377380440700704155482","0104603406005141215(YnNg",,"","2025-06-15 12:20:00","7536113009","0d1c716c-29df-4492-a9cf-68b3ed0efa3b","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 10:29:05","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28377380440700704155482","0104603406005141215h8pGX",,"","2025-06-15 12:20:00","7536113009","d3d19548-63bf-46c5-abcd-174f204487f5","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215krdmM",,"","2025-06-15 11:36:00","7536113009","0f1551bd-e7e0-4f5d-8727-3dc6614f11b6","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215""SXM>",,"","2025-06-15 11:36:00","7536113009","80455d3a-b1f3-47d8-8ba9-778dfa510c05","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215Jl(=e",,"","2025-06-15 11:36:00","7536113009","7c5f18dc-4da3-4f5b-b07a-f9f53bb68b09","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215Cqq:_",,"","2025-06-15 11:36:00","7536113009","148ab301-1f3d-4197-994c-4d496b237a0a","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215VtTs<",,"","2025-06-15 11:36:00","7536113009","bf96de79-e3a7-450c-96d1-920b304b18d7","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 09:40:27","Молочная продукция","Республика Бурятия","Респ Бурятия, Кяхтинский р-н, г Кяхта, ул Пограничная, 73","278957380440700704478482","0104607013360594215D:gHB",,"","2025-06-15 11:36:00","7536113009","de78bc3f-f3bb-44ce-a8cf-2d5e5796f16a","Нет",,,,,,,,"04607013360594","b0e12566-0a0e-4af9-a226-fc4bdf98f056","Кяхтинский","7380440700704478","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 08:58:39","Молочная продукция","Забайкальский край","Забайкальский край, Улётовский р-н, с Улёты, ул Пионерская, 2","58797380440700709004482","0104603406005141215w-a;y",,"","2025-06-15 11:56:00","7536113009","0e1d3c86-3108-41de-8118-48077726a12a","Нет",,,,,,,,"04603406005141","d4e4f550-3e45-4058-997a-624e04b08807","Улётовский","7380440700709004","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 08:50:20","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252067380440700708282482","0104607013360594215C_SLh",,"","2025-06-15 11:46:00","7536113009","cbd8e10c-f0eb-49d4-a522-14ff55ea2322","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 08:47:18","Молочная продукция","Забайкальский край","Забайкальский край, Приаргунский р-н, пгт Приаргунск, ул Транспортная, 1, литера в","148947380440700707511482","01046034060051412150qJuX",,"","2025-06-15 11:43:00","7536113009","fae0906e-46a0-4f7e-a14c-fb3fa800395c","Нет",,,,,,,,"04603406005141","54e91148-c29d-43f0-b8fb-1b1820f0c19d","Приаргунский","7380440700707511","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 08:47:18","Молочная продукция","Забайкальский край","Забайкальский край, Приаргунский р-н, пгт Приаргунск, ул Транспортная, 1, литера в","148947380440700707511482","0104603406005141215hDq.(",,"","2025-06-15 11:43:00","7536113009","14d3510f-1976-44fc-bff2-ef10337533ed","Нет",,,,,,,,"04603406005141","54e91148-c29d-43f0-b8fb-1b1820f0c19d","Приаргунский","7380440700707511","Нет"
