"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, г Барнаул, пр-кт Космонавтов, 59","422897380440700384254482","0104627175131177215<oJnC",,"","2025-06-15 12:57:00","2224156015","0038efa1-67de-4527-881b-2c9b1fab6bc9","Нет",,,,,,,,"04627175131177","275e5055-afe1-4d2d-b1cf-b901494c8c22","Барнаул","7380440700384254","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, Тальменский р-н, рп Тальменка, ул Куйбышева, 59А","38507380440902229433482","0104627175131177215xWbTC",,"","2025-06-15 12:59:00","2224156015","e499da8c-4db5-4ce3-bb82-75ba5fbb704e","Нет",,,,,,,,"04627175131177","745872ac-b60d-451f-98b7-4757a1698938","Тальменский","7380440902229433","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:06:00","Молочная продукция","Алтайский край","Алтайский край, Тальменский р-н, рп Тальменка, ул Куйбышева, 59А","38507380440902229433482","0104627175131177215VWGPJ",,"","2025-06-15 12:59:00","2224156015","c3b4334d-84ea-4e4b-a7e9-7fd3a3b1c071","Нет",,,,,,,,"04627175131177","745872ac-b60d-451f-98b7-4757a1698938","Тальменский","7380440902229433","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:04:13","Молочная продукция","Алтайский край","Алтайский край, Шипуновский р-н, с Шипуново, ул Садовая, 1К","453107281440701568543482","0104627175131177215HkX?m",,"","2025-06-15 12:56:00","2224156015","0c91ff86-84e1-4634-9e25-afe0904a0a3b","Нет",,,,,,,,"04627175131177","7185edc0-be1b-4606-9fba-93649e29d388","Шипуновский","7281440701568543","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:04:13","Молочная продукция","Алтайский край","Алтайский край, Локтевский р-н, г Горняк, ул Октябрьская, 23","536067380440700400271482","0104627175131177215TBY%L",,"","2025-06-15 12:55:00","2224156015","f55c926d-d11c-467d-9676-ea943de7250c","Нет",,,,,,,,"04627175131177","6e9d222d-305d-4649-bd28-626efe6e6842","Локтевский","7380440700400271","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:04:13","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Октябрьская, 84","69747380440801371299482","01046271751310302153HflD",,"","2025-06-15 12:58:00","2224156015","31488a97-3bd7-4790-b150-20c9abcb88cc","Нет",,,,,,,,"04627175131030","f427bc81-ceb4-4b17-935e-8e6902926805","Рубцовск","7380440801371299","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:04:13","Молочная продукция","Алтайский край","Алтайский край, Локтевский р-н, г Горняк, ул Октябрьская, 23","62237380440700715616482","0104627175131177215htKJT",,"","2025-06-15 12:55:00","2224156015","287e6ce7-7c36-4c96-a87d-c49f99091e9d","Нет",,,,,,,,"04627175131177","6e9d222d-305d-4649-bd28-626efe6e6842","Локтевский","7380440700715616","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Алтайский край","Алтайский край, г Барнаул, рп Южный, пр-кт Дзержинского, 41","515597380440700664457482","0104627175131177215WQ&oH",,"","2025-06-15 12:53:00","2224156015","7880f308-69f6-453e-9d35-951446e6b13f","Нет",,,,,,,,"04627175131177","edd47026-e3ac-4112-b029-b5c1fd7eaf31","Барнаул","7380440700664457","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Алтайский край","Алтайский край, г Новоалтайск, ул Переездная, 4/6","491597380440800877371482","0104627175131177215,iGzL",,"","2025-06-15 12:54:00","2224156015","283d4c3e-dd3a-4a9f-8028-40942ad95383","Нет",,,,,,,,"04627175131177","3cf285c0-1815-4303-bcb4-36f63f1b675b","Новоалтайск","7380440800877371","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Алтайский край","Алтайский край, Ключевский р-н, с Ключи, ул Карла Маркса, 45Б","14037380440801370521482","0104627175131177215GS9RB",,"","2025-06-15 12:55:00","2224156015","3f47fb7b-d369-4f50-8137-abbfa922091c","Нет",,,,,,,,"04627175131177","ac03d093-a3d7-49bc-9791-f27c487f68a9","Ключевский","7380440801370521","Да"
