"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:50:10","Молочная продукция","Новосибирская область","Новосибирская обл, Коченевский р-н, рп Коченево, ул Ипподромская, 5","202737380440801336542482","0104627175131030215zNZxT",,"","2025-06-15 13:29:00","5405475428","ff92c18f-acd0-4535-a2ea-895fbdc4968b","Нет",,,,,,,,"04627175131030","1895f83d-2f5a-431d-8f22-3c8ef6d5597c","Коченевский","7380440801336542","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:44:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Плахотного, 2А, к 3","181457384440800123405482","0104627175131030215SvAzA",,"","2025-06-15 13:26:00","5405475428","3f6af494-64b5-40a2-9439-a2130fc21d5f","Нет",,,,,,,,"04627175131030","2b698d07-d8b9-4580-8bd8-52b252e75808","Новосибирск","7384440800123405","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:41:47","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Учительская, 66","19857384440900732917482","0104627175131030215Gut=n",,"","2025-06-15 13:24:00","5405475428","051b2aa4-2d5a-4ad9-aac8-ce4c8bb89a0e","Нет",,,,,,,,"04627175131030","0a94f307-9e22-4186-b6c9-1499b4fbe602","Новосибирск","7384440900732917","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:41:47","Молочная продукция","Новосибирская область","Новосибирская обл, Доволенский р-н, с Довольное, ул Мичурина, 1","90727384440800436734482","0104627175131030215*qhNC",,"","2025-06-15 13:25:00","5405475428","147de131-071d-46d1-9655-b6a7e2f6de6f","Нет",,,,,,,,"04627175131030","1a983ff2-a0f5-4432-b125-9e4f1a4954ad","Доволенский","7384440800436734","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:33:24","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Учительская, 66","19837384440900732917482","0104627175131030215GPt4I",,"","2025-06-15 13:18:00","5405475428","12398972-7d22-410d-a31a-8cea6dfd9665","Нет",,,,,,,,"04627175131030","0a94f307-9e22-4186-b6c9-1499b4fbe602","Новосибирск","7384440900732917","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:31:57","Молочная продукция","Новосибирская область","Новосибирская обл, Куйбышевский р-н, г Куйбышев, ул Сиреневая, 8","123347384440800191416482","0104627175131030215%ipFQ",,"","2025-06-15 13:18:00","5405475428","fa766308-2839-4437-b484-5a557c4b0c1b","Нет",,,,,,,,"04627175131030","37054959-d8fa-4ac4-81fa-807ef2027243","Куйбышевский","7384440800191416","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:18:42","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Пролетарская, 165/1","127767380440801807081482","0104627175131030215hi65B",,"","2025-06-15 13:10:00","5405475428","7448a4c8-306f-41b7-85e0-a71bc223619e","Нет",,,,,,,,"04627175131030","5ab6f772-ce34-4ba3-93a0-540b77517ae8","Новосибирск","7380440801807081","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:14:32","Молочная продукция","Новосибирская область","Новосибирская обл, г Искитим, ул Коротеева, 18","52677380440801963517482","0104627175131030215R.Mgy",,"","2025-06-15 13:06:00","5405475428","a834b760-c8c9-49ce-a017-0a8294f19e6e","Нет",,,,,,,,"04627175131030","5a501fa5-6d36-47ce-a41e-ca4e00c28824","Искитим","7380440801963517","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:04:13","Молочная продукция","Новосибирская область","Новосибирская обл, Венгеровский р-н, с Венгерово, ул Ленина, 215А","164797380440700552088482","0104627175131030215XEmIo",,"","2025-06-15 12:57:00","5405475428","665f9799-2c44-434b-a1ef-d72133b2a2fa","Нет",,,,,,,,"04627175131030","2303e7ec-a36a-493f-8e4c-90161954c894","Венгеровский","7380440700552088","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Нижегородская, 272","234357380440801033541482","0104627175131030215KC9CT",,"","2025-06-15 12:56:00","5405475428","65501741-8a14-4966-b026-b90e3d39542a","Нет",,,,,,,,"04627175131030","430c8862-eb9a-4ded-b7c6-0cbdd58b3ff6","Новосибирск","7380440801033541","Да"
